Time (s),Time (hh:mm:ss),Outer Diameter,Inner Diameter,Table Marker,Temperature (oC),Pressure 1 (mmHg),Pressure 2 (mmHg),Avg Pressure (mmHg),Set Pressure (mmHg),Caliper length,Outer Profiles,Inner Profiles,Outer Profiles Valid,Inner Profiles Valid
40.1,00:00:40,171.93799999999996,129.558,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 170.56, 171.6, 171.08, 171.6, 173.16, 171.6, 171.08, 176.28, 172.64000000000001, 174.20000000000002, 172.12, 173.16, 171.08, 172.12, 173.68, 174.20000000000002, 173.16","127.92, 126.88000000000001, 130.0, 131.04, 130.52, 127.92, 129.48000000000002, 131.04, 129.48000000000002, 129.48000000000002, 127.4, 128.44, 127.92, 132.6, 131.56, 126.88000000000001, 131.04, 130.0, 132.08, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
42.1,00:00:42,171.91199999999998,129.558,0,0.0,nan,nan,nan,0,0.0,"167.96, 167.96, 169.52, 170.56, 171.6, 171.08, 171.6, 173.16, 171.6, 171.6, 175.76000000000002, 172.64000000000001, 174.20000000000002, 172.64000000000001, 172.64000000000001, 171.08, 172.12, 173.68, 173.68, 173.16","127.92, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 127.92, 128.96, 130.52, 130.0, 129.48000000000002, 127.92, 128.96, 127.92, 133.12, 131.56, 126.88000000000001, 131.04, 130.0, 132.08, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
44.1,00:00:44,171.93799999999996,129.53199999999998,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 170.56, 171.6, 171.08, 171.6, 173.16, 171.6, 171.6, 175.76000000000002, 172.64000000000001, 174.72, 172.64000000000001, 172.64000000000001, 170.56, 171.6, 173.68, 174.20000000000002, 173.16","127.92, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 128.44, 128.96, 130.52, 130.0, 128.96, 127.92, 128.96, 128.44, 132.6, 131.56, 126.88000000000001, 131.04, 129.48000000000002, 132.08, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
46.2,00:00:46,171.91199999999998,129.532,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 170.04, 171.08, 171.08, 171.08, 171.6, 172.64000000000001, 171.6, 171.08, 175.76000000000002, 172.64000000000001, 174.20000000000002, 173.16, 172.64000000000001, 171.08, 172.12, 173.68, 173.68, 173.16","127.4, 126.88000000000001, 130.0, 131.04, 130.52, 127.92, 129.48000000000002, 130.52, 130.0, 129.48000000000002, 127.92, 128.44, 127.92, 132.6, 131.56, 126.88000000000001, 131.04, 130.0, 132.08, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
48.2,00:00:48,171.91199999999998,129.532,0,0.0,nan,nan,nan,0,0.0,"169.0, 167.44, 169.52, 170.56, 171.6, 171.08, 171.6, 173.16, 171.6, 171.6, 175.76000000000002, 172.64000000000001, 174.20000000000002, 172.64000000000001, 172.64000000000001, 171.08, 171.6, 173.68, 173.68, 173.16","127.92, 126.36, 130.0, 130.52, 130.52, 127.92, 129.48000000000002, 130.52, 130.0, 129.48000000000002, 127.92, 128.96, 127.92, 132.6, 131.56, 126.88000000000001, 130.52, 129.48000000000002, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
50.2,00:00:50,171.91199999999998,129.48000000000002,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 170.56, 171.6, 171.08, 171.6, 172.64000000000001, 171.6, 171.08, 176.28, 172.64000000000001, 174.72, 172.64000000000001, 172.64000000000001, 171.08, 172.12, 173.68, 173.68, 173.16","127.92, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 127.92, 128.96, 130.52, 130.0, 128.96, 127.92, 128.44, 128.44, 132.6, 131.56, 126.36, 131.04, 130.0, 132.08, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
52.2,00:00:52,171.93799999999996,129.53199999999998,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 170.04, 171.08, 171.08, 171.08, 171.6, 173.16, 171.6, 171.6, 175.76000000000002, 172.64000000000001, 174.20000000000002, 172.64000000000001, 173.16, 171.08, 171.6, 173.68, 173.68, 173.16","127.92, 126.88000000000001, 130.0, 131.04, 130.52, 127.92, 128.96, 130.52, 130.0, 128.96, 127.92, 128.96, 128.44, 132.6, 131.56, 126.88000000000001, 131.04, 129.48000000000002, 132.08, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
54.2,00:00:54,171.83399999999997,129.42800000000003,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 170.56, 171.6, 171.08, 171.08, 173.16, 171.6, 171.6, 175.76000000000002, 172.64000000000001, 174.20000000000002, 172.64000000000001, 172.64000000000001, 170.56, 171.6, 173.68, 173.68, 173.16","127.92, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 127.4, 128.96, 130.52, 130.0, 128.96, 127.92, 128.96, 127.92, 132.6, 131.56, 126.88000000000001, 131.04, 129.48000000000002, 132.08, 128.44","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
56.2,00:00:56,171.78199999999998,129.37600000000003,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 170.56, 171.6, 171.08, 171.6, 172.64000000000001, 171.6, 171.08, 175.76000000000002, 172.64000000000001, 174.20000000000002, 172.64000000000001, 172.64000000000001, 170.56, 171.6, 173.16, 173.68, 173.16","127.92, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 127.4, 128.96, 130.0, 130.0, 128.96, 127.92, 128.96, 128.44, 132.08, 131.56, 126.36, 131.04, 129.48000000000002, 132.08, 128.44","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
58.2,00:00:58,171.78199999999998,129.454,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 170.56, 171.08, 171.08, 171.08, 173.16, 171.6, 171.6, 175.76000000000002, 172.64000000000001, 174.20000000000002, 172.64000000000001, 172.64000000000001, 170.56, 171.6, 173.16, 173.68, 173.16","127.92, 126.88000000000001, 129.48000000000002, 130.52, 130.52, 127.4, 128.96, 130.52, 130.0, 128.96, 127.92, 128.96, 128.44, 132.6, 131.56, 126.36, 131.04, 130.0, 132.08, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
